*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.281236  	0.001000	0.238457  	0.001000	0.234545  	0.001000	0.234545  	0.001000	0.119667  	0.001000	0.11879   	
0.002000	0.307281  	0.002000	0.25064   	0.002000	0.248179  	0.002000	0.248179  	0.002000	0.159792  	0.002000	0.0908485 	
0.005000	0.372197  	0.005000	0.290906  	0.005000	0.293288  	0.005000	0.293288  	0.005000	0.234575  	0.005000	0.0563315 	
0.008000	0.423665  	0.008000	0.328048  	0.008000	0.335041  	0.008000	0.335041  	0.008000	0.285838  	0.008000	0.0422102 	
0.010000	0.453157  	0.010000	0.350514  	0.010000	0.360419  	0.010000	0.360419  	0.010000	0.314014  	0.010000	0.0364998 	
0.015000	0.527948  	0.015000	0.404033  	0.015000	0.420369  	0.015000	0.420369  	0.015000	0.37638   	0.015000	0.0276531 	
0.020000	0.587703  	0.020000	0.456311  	0.020000	0.479949  	0.020000	0.479949  	0.020000	0.433928  	0.020000	0.0223824 	
0.025000	0.653642  	0.025000	0.511872  	0.025000	0.538888  	0.025000	0.538888  	0.025000	0.492838  	0.025000	0.0190338 	
0.030000	0.709531  	0.030000	0.565787  	0.030000	0.58656   	0.030000	0.58656   	0.030000	0.549157  	0.030000	0.0166295 	
0.035000	0.755479  	0.035000	0.617711  	0.035000	0.632152  	0.035000	0.632152  	0.035000	0.602901  	0.035000	0.0148104 	
0.040000	0.791691  	0.040000	0.667371  	0.040000	0.675699  	0.040000	0.675699  	0.040000	0.65399   	0.040000	0.013381  	
0.045000	0.818552  	0.045000	0.714552  	0.045000	0.717237  	0.045000	0.717237  	0.045000	0.702327  	0.045000	0.012225  	
0.050000	0.836612  	0.050000	0.75909   	0.050000	0.756802  	0.050000	0.756802  	0.050000	0.747821  	0.050000	0.0112688 	
0.055000	0.873044  	0.055000	0.8037    	0.055000	0.794431  	0.055000	0.794431  	0.055000	0.793236  	0.055000	0.0104633 	
0.060000	0.904075  	0.060000	0.845721  	0.060000	0.830162  	0.060000	0.830162  	0.060000	0.835946  	0.060000	0.00977462	
0.070000	0.951479  	0.070000	0.921823  	0.070000	0.896103  	0.070000	0.896103  	0.070000	0.913167  	0.070000	0.00865653	
0.080000	1.00234   	0.080000	0.986967  	0.080000	0.954994  	0.080000	0.954994  	0.080000	0.979181  	0.080000	0.00778539	
0.090000	1.0423    	0.090000	1.04283   	0.090000	1.00725   	0.090000	1.00725   	0.090000	1.03574   	0.090000	0.00708573	
0.100000	1.07435   	0.100000	1.09072   	0.100000	1.05332   	0.100000	1.05332   	0.100000	1.08421   	0.100000	0.0065103 	
0.120000	1.09381   	0.120000	1.16308   	0.120000	1.12879   	0.120000	1.12879   	0.120000	1.15746   	0.120000	0.00561724	
